Byte: 59 | Level:10 | Mask: 976
Byte: 230 | Level:10 | Mask: 977
Byte: 119 | Level:9 | Mask: 144
Byte: 124 | Level:9 | Mask: 145
Byte: 206 | Level:9 | Mask: 222
Byte: 156 | Level:9 | Mask: 223
Byte: 194 | Level:9 | Mask: 284
Byte: 48 | Level:9 | Mask: 285
Byte: 57 | Level:9 | Mask: 314
Byte: 38 | Level:9 | Mask: 315
Byte: 132 | Level:9 | Mask: 336
Byte: 152 | Level:9 | Mask: 337
Byte: 205 | Level:9 | Mask: 346
Byte: 243 | Level:9 | Mask: 347
Byte: 76 | Level:9 | Mask: 364
Byte: 51 | Level:9 | Mask: 365
Byte: 9 | Level:9 | Mask: 368
Byte: 16 | Level:9 | Mask: 369
Byte: 108 | Level:9 | Mask: 370
Byte: 19 | Level:9 | Mask: 371
Byte: 118 | Level:9 | Mask: 382
Byte: 226 | Level:9 | Mask: 383
Byte: 204 | Level:9 | Mask: 386
Byte: 115 | Level:9 | Mask: 387
Byte: 229 | Level:9 | Mask: 390
Byte: 240 | Level:9 | Mask: 391
Byte: 97 | Level:9 | Mask: 406
Byte: 153 | Level:9 | Mask: 407
Byte: 103 | Level:9 | Mask: 412
Byte: 8 | Level:9 | Mask: 413
Byte: 217 | Level:9 | Mask: 414
Byte: 12 | Level:9 | Mask: 415
Byte: 224 | Level:9 | Mask: 418
Byte: 220 | Level:9 | Mask: 419
Byte: 197 | Level:9 | Mask: 424
Byte: 6 | Level:9 | Mask: 425
Byte: 68 | Level:9 | Mask: 434
Byte: 54 | Level:9 | Mask: 435
Byte: 4 | Level:9 | Mask: 440
Byte: 37 | Level:9 | Mask: 441
Byte: 193 | Level:9 | Mask: 444
Byte: 187 | Level:9 | Mask: 445
Byte: 56 | Level:9 | Mask: 448
Byte: 249 | Level:9 | Mask: 449
Byte: 24 | Level:9 | Mask: 450
Byte: 136 | Level:9 | Mask: 451
Byte: 47 | Level:9 | Mask: 452
Byte: 134 | Level:9 | Mask: 453
Byte: 25 | Level:9 | Mask: 454
Byte: 121 | Level:9 | Mask: 455
Byte: 114 | Level:9 | Mask: 460
Byte: 27 | Level:9 | Mask: 461
Byte: 13 | Level:9 | Mask: 466
Byte: 137 | Level:9 | Mask: 467
Byte: 2 | Level:9 | Mask: 468
Byte: 33 | Level:9 | Mask: 469
Byte: 203 | Level:9 | Mask: 470
Byte: 225 | Level:9 | Mask: 471
Byte: 216 | Level:9 | Mask: 476
Byte: 151 | Level:9 | Mask: 477
Byte: 18 | Level:9 | Mask: 478
Byte: 40 | Level:9 | Mask: 479
Byte: 192 | Level:9 | Mask: 484
Byte: 23 | Level:9 | Mask: 485
Byte: 110 | Level:9 | Mask: 486
Byte: 130 | Level:9 | Mask: 487
Byte: 155 | Level:9 | Mask: 489
Byte: 49 | Level:9 | Mask: 490
Byte: 201 | Level:9 | Mask: 491
Byte: 112 | Level:9 | Mask: 496
Byte: 154 | Level:9 | Mask: 497
Byte: 20 | Level:9 | Mask: 498
Byte: 11 | Level:9 | Mask: 499
Byte: 140 | Level:9 | Mask: 500
Byte: 41 | Level:9 | Mask: 501
Byte: 196 | Level:9 | Mask: 502
Byte: 148 | Level:9 | Mask: 503
Byte: 188 | Level:9 | Mask: 504
Byte: 208 | Level:9 | Mask: 505
Byte: 28 | Level:9 | Mask: 506
Byte: 45 | Level:9 | Mask: 507
Byte: 104 | Level:9 | Mask: 510
Byte: 17 | Level:9 | Mask: 511
Byte: 198 | Level:8 | Mask: 0
Byte: 96 | Level:8 | Mask: 1
Byte: 139 | Level:8 | Mask: 2
Byte: 46 | Level:8 | Mask: 3
Byte: 50 | Level:8 | Mask: 4
Byte: 60 | Level:8 | Mask: 5
Byte: 34 | Level:8 | Mask: 6
Byte: 5 | Level:8 | Mask: 7
Byte: 185 | Level:8 | Mask: 8
Byte: 236 | Level:8 | Mask: 9
Byte: 55 | Level:8 | Mask: 12
Byte: 22 | Level:8 | Mask: 13
Byte: 102 | Level:8 | Mask: 14
Byte: 133 | Level:8 | Mask: 15
Byte: 147 | Level:8 | Mask: 16
Byte: 131 | Level:8 | Mask: 17
Byte: 129 | Level:8 | Mask: 26
Byte: 248 | Level:8 | Mask: 27
Byte: 231 | Level:8 | Mask: 28
Byte: 162 | Level:8 | Mask: 29
Byte: 98 | Level:8 | Mask: 32
Byte: 138 | Level:8 | Mask: 33
Byte: 67 | Level:8 | Mask: 36
Byte: 182 | Level:8 | Mask: 37
Byte: 128 | Level:8 | Mask: 38
Byte: 10 | Level:8 | Mask: 39
Byte: 242 | Level:8 | Mask: 42
Byte: 179 | Level:8 | Mask: 43
Byte: 1 | Level:8 | Mask: 50
Byte: 113 | Level:8 | Mask: 51
Byte: 202 | Level:8 | Mask: 60
Byte: 100 | Level:8 | Mask: 61
Byte: 195 | Level:8 | Mask: 62
Byte: 66 | Level:8 | Mask: 63
Byte: 21 | Level:8 | Mask: 70
Byte: 65 | Level:8 | Mask: 71
Byte: 39 | Level:8 | Mask: 73
Byte: 120 | Level:8 | Mask: 76
Byte: 14 | Level:8 | Mask: 77
Byte: 176 | Level:8 | Mask: 80
Byte: 52 | Level:8 | Mask: 81
Byte: 64 | Level:8 | Mask: 84
Byte: 160 | Level:8 | Mask: 85
Byte: 53 | Level:8 | Mask: 86
Byte: 228 | Level:8 | Mask: 87
Byte: 69 | Level:8 | Mask: 88
Byte: 184 | Level:8 | Mask: 89
Byte: 3 | Level:8 | Mask: 90
Byte: 75 | Level:8 | Mask: 91
Byte: 161 | Level:8 | Mask: 94
Byte: 109 | Level:8 | Mask: 95
Byte: 219 | Level:8 | Mask: 96
Byte: 43 | Level:8 | Mask: 97
Byte: 150 | Level:8 | Mask: 100
Byte: 32 | Level:8 | Mask: 101
Byte: 232 | Level:8 | Mask: 102
Byte: 135 | Level:8 | Mask: 103
Byte: 209 | Level:8 | Mask: 104
Byte: 77 | Level:8 | Mask: 105
Byte: 101 | Level:8 | Mask: 108
Byte: 190 | Level:8 | Mask: 109
Byte: 44 | Level:8 | Mask: 110
Byte: 180 | Level:8 | Mask: 112
Byte: 106 | Level:8 | Mask: 113
Byte: 200 | Level:8 | Mask: 114
Byte: 144 | Level:8 | Mask: 115
Byte: 157 | Level:8 | Mask: 116
Byte: 166 | Level:8 | Mask: 117
Byte: 78 | Level:8 | Mask: 118
Byte: 70 | Level:8 | Mask: 119
Byte: 207 | Level:8 | Mask: 120
Byte: 141 | Level:8 | Mask: 121
Byte: 178 | Level:8 | Mask: 122
Byte: 146 | Level:8 | Mask: 123
Byte: 74 | Level:8 | Mask: 124
Byte: 26 | Level:8 | Mask: 125
Byte: 99 | Level:8 | Mask: 126
Byte: 42 | Level:8 | Mask: 127
Byte: 241 | Level:8 | Mask: 128
Byte: 7 | Level:8 | Mask: 129
Byte: 81 | Level:8 | Mask: 132
Byte: 80 | Level:8 | Mask: 133
Byte: 92 | Level:8 | Mask: 136
Byte: 237 | Level:8 | Mask: 137
Byte: 218 | Level:8 | Mask: 138
Byte: 36 | Level:8 | Mask: 139
Byte: 177 | Level:8 | Mask: 140
Byte: 90 | Level:8 | Mask: 141
Byte: 73 | Level:8 | Mask: 143
Byte: 105 | Level:8 | Mask: 146
Byte: 107 | Level:8 | Mask: 147
Byte: 149 | Level:8 | Mask: 150
Byte: 83 | Level:8 | Mask: 151
Byte: 142 | Level:8 | Mask: 152
Byte: 84 | Level:8 | Mask: 153
Byte: 82 | Level:8 | Mask: 154
Byte: 15 | Level:8 | Mask: 155
Byte: 252 | Level:8 | Mask: 156
Byte: 158 | Level:8 | Mask: 158
Byte: 35 | Level:8 | Mask: 159
Byte: 72 | Level:8 | Mask: 160
Byte: 86 | Level:8 | Mask: 161
Byte: 145 | Level:8 | Mask: 164
Byte: 164 | Level:8 | Mask: 165
Byte: 89 | Level:8 | Mask: 166
Byte: 163 | Level:8 | Mask: 167
Byte: 181 | Level:8 | Mask: 169
Byte: 116 | Level:8 | Mask: 172
Byte: 29 | Level:8 | Mask: 176
Byte: 62 | Level:8 | Mask: 177
Byte: 88 | Level:8 | Mask: 183
Byte: 246 | Level:8 | Mask: 188
Byte: 165 | Level:8 | Mask: 189
Byte: 227 | Level:8 | Mask: 190
Byte: 91 | Level:8 | Mask: 192
Byte: 222 | Level:8 | Mask: 194
Byte: 85 | Level:8 | Mask: 198
Byte: 210 | Level:8 | Mask: 199
Byte: 71 | Level:8 | Mask: 202
Byte: 183 | Level:8 | Mask: 204
Byte: 93 | Level:8 | Mask: 205
Byte: 168 | Level:8 | Mask: 208
Byte: 170 | Level:8 | Mask: 213
Byte: 238 | Level:8 | Mask: 214
Byte: 111 | Level:8 | Mask: 215
Byte: 30 | Level:8 | Mask: 216
Byte: 31 | Level:8 | Mask: 218
Byte: 87 | Level:8 | Mask: 219
Byte: 172 | Level:8 | Mask: 221
Byte: 169 | Level:8 | Mask: 223
Byte: 221 | Level:8 | Mask: 231
Byte: 199 | Level:8 | Mask: 232
Byte: 159 | Level:8 | Mask: 246
Byte: 95 | Level:8 | Mask: 247
Byte: 173 | Level:8 | Mask: 254
Byte: 174 | Level:7 | Mask: 5
Byte: 94 | Level:7 | Mask: 9
Byte: 126 | Level:7 | Mask: 10
Byte: 171 | Level:7 | Mask: 11
Byte: 239 | Level:7 | Mask: 12
Byte: 244 | Level:7 | Mask: 15
Byte: 79 | Level:7 | Mask: 17
Byte: 123 | Level:7 | Mask: 20
Byte: 143 | Level:7 | Mask: 24
Byte: 211 | Level:7 | Mask: 28
Byte: 213 | Level:7 | Mask: 29
Byte: 212 | Level:7 | Mask: 32
Byte: 63 | Level:7 | Mask: 33
Byte: 61 | Level:7 | Mask: 34
Byte: 125 | Level:7 | Mask: 37
Byte: 223 | Level:7 | Mask: 39
Byte: 167 | Level:7 | Mask: 41
Byte: 214 | Level:7 | Mask: 46
Byte: 58 | Level:7 | Mask: 49
Byte: 233 | Level:7 | Mask: 53
Byte: 189 | Level:7 | Mask: 65
Byte: 186 | Level:7 | Mask: 67
Byte: 122 | Level:7 | Mask: 72
Byte: 251 | Level:7 | Mask: 74
Byte: 191 | Level:7 | Mask: 81
Byte: 234 | Level:7 | Mask: 85
Byte: 175 | Level:7 | Mask: 87
Byte: 254 | Level:7 | Mask: 89
Byte: 127 | Level:7 | Mask: 90
Byte: 250 | Level:7 | Mask: 93
Byte: 215 | Level:7 | Mask: 98
Byte: 247 | Level:7 | Mask: 100
Byte: 117 | Level:7 | Mask: 105
Byte: 253 | Level:7 | Mask: 114
Byte: 255 | Level:7 | Mask: 118
Byte: 245 | Level:7 | Mask: 120
Byte: 235 | Level:6 | Mask: 11
Byte: 0 | Level:6 | Mask: 13
