Byte: 47 | Level:13 | Mask: 6264
Byte: 51 | Level:13 | Mask: 6265
Byte: 59 | Level:13 | Mask: 6266
Byte: 71 | Level:13 | Mask: 6267
Byte: 74 | Level:13 | Mask: 6268
Byte: 89 | Level:13 | Mask: 6269
Byte: 137 | Level:13 | Mask: 6270
Byte: 177 | Level:13 | Mask: 6271
Byte: 45 | Level:12 | Mask: 3126
Byte: 53 | Level:12 | Mask: 3127
Byte: 54 | Level:12 | Mask: 3128
Byte: 57 | Level:12 | Mask: 3129
Byte: 81 | Level:12 | Mask: 3130
Byte: 141 | Level:12 | Mask: 3131
Byte: 66 | Level:11 | Mask: 1344
Byte: 84 | Level:11 | Mask: 1345
Byte: 91 | Level:11 | Mask: 1346
Byte: 93 | Level:11 | Mask: 1347
Byte: 77 | Level:11 | Mask: 1562
Byte: 37 | Level:11 | Mask: 1860
Byte: 49 | Level:11 | Mask: 1861
Byte: 50 | Level:11 | Mask: 1862
Byte: 70 | Level:11 | Mask: 1863
Byte: 119 | Level:11 | Mask: 1880
Byte: 186 | Level:11 | Mask: 1881
Byte: 42 | Level:10 | Mask: 36
Byte: 68 | Level:10 | Mask: 37
Byte: 82 | Level:10 | Mask: 38
Byte: 85 | Level:10 | Mask: 39
Byte: 40 | Level:10 | Mask: 680
Byte: 41 | Level:10 | Mask: 681
Byte: 48 | Level:10 | Mask: 682
Byte: 58 | Level:10 | Mask: 683
Byte: 73 | Level:10 | Mask: 688
Byte: 78 | Level:10 | Mask: 689
Byte: 169 | Level:10 | Mask: 694
Byte: 76 | Level:10 | Mask: 695
Byte: 79 | Level:10 | Mask: 780
Byte: 56 | Level:10 | Mask: 886
Byte: 80 | Level:10 | Mask: 887
Byte: 65 | Level:10 | Mask: 941
Byte: 107 | Level:9 | Mask: 16
Byte: 120 | Level:9 | Mask: 17
Byte: 122 | Level:9 | Mask: 337
Byte: 83 | Level:9 | Mask: 345
Byte: 106 | Level:9 | Mask: 346
Byte: 69 | Level:9 | Mask: 442
Byte: 104 | Level:9 | Mask: 464
Byte: 67 | Level:9 | Mask: 471
Byte: 113 | Level:8 | Mask: 169
Byte: 121 | Level:8 | Mask: 171
Byte: 173 | Level:8 | Mask: 194
Byte: 44 | Level:8 | Mask: 220
Byte: 46 | Level:8 | Mask: 222
Byte: 102 | Level:8 | Mask: 223
Byte: 123 | Level:8 | Mask: 233
Byte: 125 | Level:8 | Mask: 234
Byte: 118 | Level:7 | Mask: 5
Byte: 161 | Level:7 | Mask: 6
Byte: 179 | Level:7 | Mask: 7
Byte: 98 | Level:7 | Mask: 87
Byte: 103 | Level:7 | Mask: 96
Byte: 10 | Level:6 | Mask: 0
Byte: 92 | Level:6 | Mask: 1
Byte: 109 | Level:6 | Mask: 49
Byte: 195 | Level:6 | Mask: 54
Byte: 112 | Level:6 | Mask: 59
Byte: 117 | Level:5 | Mask: 20
Byte: 99 | Level:5 | Mask: 25
Byte: 108 | Level:5 | Mask: 26
Byte: 100 | Level:5 | Mask: 28
Byte: 110 | Level:4 | Mask: 1
Byte: 116 | Level:4 | Mask: 4
Byte: 111 | Level:4 | Mask: 5
Byte: 114 | Level:4 | Mask: 8
Byte: 115 | Level:4 | Mask: 9
Byte: 105 | Level:4 | Mask: 11
Byte: 97 | Level:4 | Mask: 15
Byte: 101 | Level:3 | Mask: 1
Byte: 32 | Level:3 | Mask: 3
